month,P_t,D_t,S_t,month_num,year,month_sin,month_cos,D_t_lag1,D_t_lag2,D_t_lag3,D_t_lag6,D_t_lag12,D_t_ma3,D_t_std3,D_t_ma6,D_t_std6,D_t_ma12,D_t_std12
2008-06-01,660175.0,44600.0,0.0675578445109251,6,2008,1.2246467991473532e-16,-1.0,69375.0,331700.0,578000.0,246025.0,0.0,326358.3333333333,254354.5708422267,315962.5,165728.15146347348,178179.16666666666,183918.71377463237
2008-07-01,856475.0,140000.0,0.1634606964593245,7,2008,-0.4999999999999997,-0.8660254037844388,44600.0,69375.0,331700.0,366725.0,0.0,148558.33333333334,159088.34875104247,282391.6666666667,199656.42906419685,181895.83333333334,180407.83117493105
2008-08-01,592450.0,37900.0,0.0639716431766393,8,2008,-0.8660254037844384,-0.5000000000000004,140000.0,44600.0,69375.0,303950.0,51125.0,84658.33333333333,49502.274779380794,244604.16666666666,201945.21683903947,193562.5,171901.84154045588
2008-09-01,317675.0,26500.0,0.0834185881797434,9,2008,-1.0,-1.8369701987210297e-16,37900.0,140000.0,44600.0,578000.0,30125.0,74166.66666666667,57111.67422982204,200262.5,215089.25458399823,192460.41666666666,172937.31702632937
2008-10-01,962550.0,148500.0,0.1542776998597475,10,2008,-0.8660254037844386,0.5000000000000001,26500.0,37900.0,140000.0,331700.0,69700.0,68133.33333333333,62498.82665565265,108345.83333333333,116732.75720279492,192158.33333333334,173249.54392348908
2008-11-01,2064900.0,346500.0,0.1678047363068429,11,2008,-0.5000000000000004,0.8660254037844384,148500.0,26500.0,37900.0,69375.0,91425.0,70966.66666666667,67387.33807870228,77812.5,53412.07670087356,198725.0,169641.86942979723
2008-12-01,2566975.0,345850.0,0.1347305680811071,12,2008,-2.4492935982947064e-16,1.0,346500.0,148500.0,26500.0,44600.0,246025.0,173833.33333333334,161497.161997768,124000.0,121314.73117474234,219981.25,170950.34503840582
2009-01-01,2470125.0,274525.0,0.1111381002985678,1,2009,0.49999999999999994,0.8660254037844387,345850.0,346500.0,148500.0,140000.0,366725.0,280283.3333333333,114128.17721024607,174208.33333333334,142389.69210117235,228300.0,174720.1583962194
2009-02-01,2714925.0,341025.0,0.1256112047294124,2,2009,0.8660254037844386,0.5000000000000001,274525.0,345850.0,346500.0,37900.0,303950.0,322291.6666666667,41368.42344510279,196629.16666666666,146458.99290984718,220616.66666666666,170044.20225252307
2009-03-01,3061300.0,297675.0,0.0972381014601639,3,2009,1.0,6.123233995736766e-17,341025.0,274525.0,345850.0,26500.0,578000.0,320466.6666666667,39859.72539209635,247150.0,132357.29201672267,223706.25,172021.2761434548
2009-04-01,3079475.0,417200.0,0.1354776382337898,4,2009,0.8660254037844387,-0.4999999999999998,297675.0,341025.0,274525.0,148500.0,331700.0,304408.3333333333,33757.455966546564,292345.8333333333,76423.34299261363,200345.83333333334,134469.77348482673
2009-05-01,3443300.0,440250.0,0.1278569976476055,5,2009,0.49999999999999994,-0.8660254037844387,417200.0,297675.0,341025.0,346500.0,69375.0,351966.6666666667,60509.060960597715,337129.1666666667,49124.931085617485,207470.83333333334,143990.51256361767
